date_period,value,company_code,company,particulars,gl_account,account_no,update_datetime
2024-05-01 00:00:00,31472.49,BR10,IVFB Ltda.,  Account Receivables,Manual Rec RPT,OCOA/1600030300,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Account Receivables,Misc Rec - Misc IC,OCOA/1600020200,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-3830.83,BR10,IVFB Ltda.,  Account Receivables,Prov for Doubt-Local,OCOA/1600000120,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-214371.8,BR10,IVFB Ltda.,  Account Receivables,Trade Rec - Expo,OCOA/1600010010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Account Receivables,Trade Rec - IC,OCOA/1600020010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,1744314.26,BR10,IVFB Ltda.,  Account Receivables,Trade Rec - Local,OCOA/1600000010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,359535.69,BR10,IVFB Ltda.,  Account Receivables,Trade Rec Local Manu,OCOA/1600000090,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Account Receivables,Unreal FxG Misc IC,OCOA/1600020220,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Account Receivables,Unreal FXG Rec Rel P,OCOA/1600030030,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,4220.12,BR10,IVFB Ltda.,  Account Receivables,Unreal FXGain RecExp,OCOA/1600010030,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-318055.97,BR10,IVFB Ltda.,  Finished Goods,FG Prov NRV,OCOA/1501010050,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Finished Goods,FG Prov SM,OCOA/1501000050,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-618308.49,BR10,IVFB Ltda.,  Finished Goods,Finished GIT,OCOA/1500050030,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-6111158.69,BR10,IVFB Ltda.,  Finished Goods,Finished Goods,OCOA/1500050010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,618308.49,BR10,IVFB Ltda.,  Finished Goods,Finished Goods Manua,OCOA/1500050900,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-583068.99,BR10,IVFB Ltda.,  Finished Goods,Inventory FOB Rev,OCOA/1500050020,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-135255.3,BR10,IVFB Ltda.,  Finished Goods,Semi Finished Goods,OCOA/1500040010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Finished Goods,SFG Prov NRV,OCOA/1501010040,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-7929.43,BR10,IVFB Ltda.,  Finished Goods,Trad Mat Prov SM,OCOA/1501000070,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,264502.74,BR10,IVFB Ltda.,  Finished Goods,Trading Mater Tra-IC,OCOA/1500070020,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-915575.05,BR10,IVFB Ltda.,  Finished Goods,Trading Materials,OCOA/1500070010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-762452.48,BR10,IVFB Ltda.,  Raw Materials,Raw Materials,OCOA/1500000010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-449360.81,BR10,IVFB Ltda.,  Raw Materials,RM in Transit,OCOA/1500000020,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,,BR10,IVFB Ltda.,  Raw Materials,RM Prov NRV,OCOA/1501010010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-144.52,BR10,IVFB Ltda.,  WIP & SFG,WIP - Act Price-Diff,OCOA/1500030020,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,2789.28,BR10,IVFB Ltda.,  WIP & SFG,Wip -Mat Price Varia,OCOA/1500030030,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-29398.73,BR10,IVFB Ltda.,  WIP & SFG,Work In Progress,OCOA/1500030010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,184.63,BR10,IVFB Ltda.,  Stores & Spares & Others,Chems & Adds,OCOA/1500010010,2024-06-21 12:11:20.114959
2024-05-01 00:00:00,-23263.64,BR10,IVFB Ltda.,  Stores & Spares & Others,Consumables,OCOA/1500060020,2024-06-21 12:11:20.114959
