plant,plant_desc,sales_organization,sales_organization_desc,bts_month,material,material_description,product_desc,product_code,product_grade,product_bag,quantity_in_kg,quantity_in_mt,quantity_in_lb,as_on_date,update_datetime,production_date,region,vertical,company_segment,so_known_name,line_no,product_quality,product_family,order_type_desc
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,9200,9.200000000000001,20282.32,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-13,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,34500,34.5,76058.7,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-13,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,57500,57.5,126764.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-13,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,25300,25.3,55776.380000000005,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-12,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,80500,80.5,177470.30000000002,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-12,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,92000,92.0,202823.2,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-10,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,92000,92.0,202823.2,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-09,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,20700,20.7,45635.22,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-09,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,80500,80.5,177470.30000000002,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-08,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,27600,27.6,60846.96000000001,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-08,APAC,PET,IPET,GIVL,,A,,
